code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
ACB,2021-05-14,13:29:46,HOSE,STOCK,36.2,38.7,33.7,36.4,36.7,36.15,36.15,36.44662994,36.4,36.7,36.15,36.45,36.44662994,3884200.0,141566000000.0,55353.0,21421.611,-0.05,-0.05,-0.1381
ACB,2021-05-13,15:05:02,HOSE,STOCK,36.15,38.65,33.65,35.7,36.95,35.7,36.2,36.41,35.7,36.95,35.7,36.2,36.41,11724300.0,426920895000.0,165000.0,6377250000.0,0.05,0.05,0.1383
ACB,2021-05-12,15:05:02,HOSE,STOCK,35.8,38.3,33.3,35.55,36.15,35.4,36.15,35.69,35.55,36.15,35.4,36.15,35.69,8991300.0,320858220000.0,212000.0,8119600000.0,0.35,0.35,0.9777
ACB,2021-05-11,15:05:02,HOSE,STOCK,36.2,38.7,33.7,36.4,36.4,35.8,35.8,36.03,36.4,36.4,35.8,35.8,36.03,9777000.0,352291460000.0,3000000.0,116100000000.0,-0.4,-0.4,-1.105
ACB,2021-05-10,15:05:02,HOSE,STOCK,35.2,37.65,32.75,35.2,36.35,35.2,36.2,36.03,35.2,36.35,35.2,36.2,36.03,13491300.0,486137820000.0,0.0,0.0,1.0,1.0,2.8409
ACB,2021-05-07,15:05:03,HOSE,STOCK,34.8,37.2,32.4,34.5,35.4,34.5,35.2,34.92,34.5,35.4,34.5,35.2,34.92,12059100.0,421070210000.0,1545500.0,57185376000.0,0.4,0.4,1.1494
ACB,2021-05-06,15:05:02,HOSE,STOCK,35.3,37.75,32.85,35.3,35.35,34.65,34.8,34.99,35.3,35.35,34.65,34.8,34.99,7783800.0,272388250000.0,12447800.0,435293378000.0,-0.5,-0.5,-1.4164
ACB,2021-05-05,15:05:02,HOSE,STOCK,34.45,36.85,32.05,34.6,35.85,34.6,35.3,35.33,34.6,35.85,34.6,35.3,35.33,17558400.0,620385685000.0,3140000.0,109780500000.0,0.85,0.85,2.4673
ACB,2021-05-04,15:05:02,HOSE,STOCK,34.65,37.05,32.25,34.0,34.75,33.5,34.45,34.29,34.0,34.75,33.5,34.45,34.29,9333200.0,320042680000.0,4530000.0,156960000000.0,-0.2,-0.2,-0.5772
ACB,2021-04-29,15:04:05,HOSE,STOCK,33.8,36.15,31.45,33.8,34.65,33.6,34.65,34.27,33.8,34.65,33.6,34.65,34.27,16646300.0,570480100000.0,1654000.0,57334200000.0,0.85,0.85,2.5148
ACB,2021-04-28,15:04:02,HOSE,STOCK,34.0,36.35,31.65,33.5,34.3,33.4,33.8,33.82,33.5,34.3,33.4,33.8,33.82,5675200.0,191953980000.0,670000.0,23630000000.0,-0.2,-0.2,-0.5882
ACB,2021-04-27,15:04:02,HOSE,STOCK,33.3,35.6,31.0,33.0,34.0,32.65,34.0,33.37,33.0,34.0,32.65,34.0,33.37,6393000.0,213347290000.0,149000.0,5110700000.0,0.7,0.7,2.1021
ACB,2021-04-26,15:04:04,HOSE,STOCK,33.4,35.7,31.1,33.4,33.4,32.6,33.3,32.91,33.4,33.4,32.6,33.3,32.91,7119100.0,234311370000.0,0.0,0.0,-0.1,-0.1,-0.2994
ACB,2021-04-23,15:04:04,HOSE,STOCK,32.5,34.75,30.25,32.4,33.45,32.1,33.4,32.81,32.4,33.45,32.1,33.4,32.81,6687700.0,219451575000.0,286800.0,9941300000.0,0.9,0.9,2.7692
ACB,2021-04-22,15:04:01,HOSE,STOCK,33.6,35.95,31.25,33.4,33.6,32.5,32.5,33.06,33.4,33.6,32.5,32.5,33.06,7843500.0,259313870000.0,175200.0,6184560000.0,-1.1,-1.1,-3.2738
ACB,2021-04-20,15:04:03,HOSE,STOCK,33.7,36.05,31.35,34.0,34.4,33.2,33.6,33.96,34.0,34.4,33.2,33.6,33.96,7166900.0,243371805000.0,230700.0,8005290000.0,-0.1,-0.1,-0.2967
ACB,2021-04-19,15:04:03,HOSE,STOCK,33.1,35.4,30.8,33.5,33.75,32.8,33.7,33.29,33.5,33.75,32.8,33.7,33.29,4291900.0,142871190000.0,20000.0,680000000.0,0.6,0.6,1.8127
ACB,2021-04-16,15:04:02,HOSE,STOCK,33.85,36.2,31.5,33.8,34.05,32.7,33.1,33.28,33.8,34.05,32.7,33.1,33.28,8403400.0,279699390000.0,0.0,0.0,-0.75,-0.75,-2.2157
ACB,2021-04-15,15:04:02,HOSE,STOCK,34.6,37.0,32.2,34.65,34.7,33.8,33.85,34.15,34.65,34.7,33.8,33.85,34.15,9686700.0,330790995000.0,0.0,0.0,-0.75,-0.75,-2.1676
ACB,2021-04-14,15:04:03,HOSE,STOCK,34.6,37.0,32.2,34.3,34.75,34.15,34.6,34.45,34.3,34.75,34.15,34.6,34.45,5073300.0,174753605000.0,372900.0,13251827000.0,0.0,0.0,0.0
ACB,2021-04-13,15:04:04,HOSE,STOCK,35.15,37.6,32.7,35.35,35.5,34.4,34.6,34.81,35.35,35.5,34.4,34.6,34.81,8736000.0,304066680000.0,1647100.0,60707990000.0,-0.55,-0.55,-1.5647
ACB,2021-04-12,15:04:03,HOSE,STOCK,34.4,36.8,32.0,34.6,35.2,34.45,35.15,34.83,34.6,35.2,34.45,35.15,34.83,12513500.0,435860400000.0,30000.0,975000000.0,0.75,0.75,2.1802
ACB,2021-04-09,15:04:03,HOSE,STOCK,34.4,36.8,32.0,34.3,34.6,34.2,34.4,34.36,34.3,34.6,34.2,34.4,34.36,5401500.0,185619130000.0,690000.0,24428100000.0,0.0,0.0,0.0
ACB,2021-04-08,15:04:03,HOSE,STOCK,34.4,36.8,32.0,34.35,34.7,34.2,34.4,34.46,34.35,34.7,34.2,34.4,34.46,4687900.0,161526140000.0,489000.0,17325270000.0,0.0,0.0,0.0
ACB,2021-04-07,15:04:03,HOSE,STOCK,34.75,37.15,32.35,34.5,34.7,34.3,34.4,34.47,34.5,34.7,34.3,34.4,34.47,6400900.0,220660190000.0,0.0,0.0,-0.35,-0.35,-1.0072
ACB,2021-04-06,15:04:03,HOSE,STOCK,34.75,37.15,32.35,34.7,34.95,34.15,34.75,34.73,34.7,34.95,34.15,34.75,34.73,7565000.0,262742810000.0,163000.0,5774399000.0,0.0,0.0,0.0
ACB,2021-04-05,15:04:03,HOSE,STOCK,34.65,37.05,32.25,35.3,35.3,34.6,34.75,34.84,35.3,35.3,34.6,34.75,34.84,7433500.0,258961160000.0,0.0,0.0,0.1,0.1,0.2886
ACB,2021-04-02,15:04:02,HOSE,STOCK,33.85,36.2,31.5,34.2,35.0,34.0,34.65,34.5,34.2,35.0,34.0,34.65,34.5,13979400.0,482315705000.0,0.0,0.0,0.8,0.8,2.3634
ACB,2021-04-01,15:04:03,HOSE,STOCK,33.3,35.6,31.0,33.45,33.85,33.3,33.85,33.59,33.45,33.85,33.3,33.85,33.59,10439300.0,350620895000.0,1622300.0,55316990000.0,0.55,0.55,1.6517
